COLS_NATURE;RA_CODE;idCols;COLS_CODE;COLS_DATAMART;COLS_FILTRE_DOMAINE;DIM_VAL_CODE;idObjet;FILTRE_TAB;FILTRE_CHA;FILTRE_VAL;FILTRE_SENS
SOURCE;ra20;0;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;0;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_VERST;;INCLURE
SOURCE;ra20;0;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra20;0;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra20;0;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
SOURCE;ra21;1;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra21;1;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_REMB;;INCLURE
SOURCE;ra21;1;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra21;1;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra21;1;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
CALCUL;ra22;2;C002;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra23;3;C003;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra24;4;C004;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra25;5;C005;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;0;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;6;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;6;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_VERST;;INCLURE
SOURCE;ra20;6;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra20;6;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra20;6;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
