idObjet;idCols;COLS_CODE;COLS_ENTETE1;COLS_ENTETE2;COLS_ENTETE3;COLS_FORMAT;COLS_PRM_GRAPHE;COLS_LIBL;COLS_COEF;COLS_NATURE;COLS_DATAMART;COLS_FORMULE;COLS_ORDRE
750;4110;C750000_01;ETP METIER;31/12/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;1
750;122;C750000_02;ETP METIER;M/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;2
750;123;C750000_03;ETP METIER;M-1/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;3
750;125;C750000_04;ETP METIER;M/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;4
750;119;C750000_10;Bancarises Principaux;31/12/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;5
750;120;C750000_11;Bancarises Principaux;M/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;6
750;121;C750000_12;Bancarises Principaux;M-1/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;7
750;124;C750000_13;Bancarises Principaux;M/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;8
750;4111;C750000_20;Bancarises Principaux Equipes;31/12/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;9
750;4112;C750000_21;Bancarises Principaux Equipes;M/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;10
750;4113;C750000_22;Bancarises Principaux Equipes;M-1/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;11
750;4114;C750000_23;Bancarises Principaux Equipes;M/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;12
750;4115;C750000_31;Clients equipes;31/12/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;13
750;4116;C750000_32;Clients equipes;M/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;14
750;4117;C750000_33;Clients equipes;M-1/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;15
750;4118;C750000_34;Clients equipes;M/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;16
750;4119;C750000_41;Conquetes;31/12/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;17
750;4120;C750000_42;Conquetes;M/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;18
750;4121;C750000_43;Conquetes;M-1/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;19
750;4122;C750000_44;Conquetes;M/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;20
750;4123;C750000_51;Attrition;31/12/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;21
750;4124;C750000_52;Attrition;M/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;22
750;4125;C750000_53;Attrition;M-1/N;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;23
750;4126;C750000_54;Attrition;M/N-1;APC;;;;;SOURCE;vw_CUBE_VBPCE_APC_FAITS;;24
6;127;C006011;Bancarises Principaux;Clients BP;Poids 31/12/N1;;;;;CALCUL;vw_CUBE_VBPCE_APC_FAITS;POIDS;2
6;128;C006012;Bancarises Principaux;Clients BP;var . YTD;;;;;CALCUL;vw_CUBE_VBPCE_APC_FAITS;ECART;3
6;129;C006013;Bancarises Principaux;Var.BP /ETP;Valeur;;;;;CALCUL;vw_CUBE_VBPCE_APC_FAITS;VAR;4
6;130;C006014;Bancarises Principaux;Var.BP /ETP;Rang;;;;;CALCUL;vw_CUBE_VBPCE_APC_FAITS;RANK;5
