idRaComp;idObjetSrc;idObjetCib;idColsCib;COLS_CODE;CODE_COMPOSANT;idColsSrc;COLS_CODE_SRC
1;750;6;127;C006011;[A];119;C750000_10
2;750;6;128;C006012;[A];120;C750000_11
3;750;6;128;C006012;[B];119;C750000_10
4;6;6;129;C006013;[A];128;C006012
5;750;6;129;C006013;[B];122;C750000_02
6;6;6;130;C006014;[A];129;C006013
7;6;6;131;C006015;[A];130;C006014
8;6;6;131;C006015;[B];130;C006014
9;6;6;4291;C006037;[A];130;C006014
10;6;6;4291;C006037;[B];142;C006019
11;6;6;4291;C006037;[C];153;C006024
12;6;6;4291;C006037;[D];163;C006029
13;6;6;4291;C006037;[E];173;C006034
14;6;6;175;C006036;[A];4291;C006037
15;750;6;139;C006016;[A];4111;C750000_20
16;750;6;140;C006017;[A];4112;C750000_21
17;750;6;140;C006017;[B];4111;C750000_20
18;750;6;151;C006022;[A];4116;C750000_32
19;750;6;151;C006022;[B];4115;C750000_31
20;750;6;171;C006032;[A];4124;C750000_52
21;750;6;150;C006021;[A];4115;C750000_31
22;750;6;160;C006026;[A];4119;C750000_41
23;750;6;170;C006031;[A];4123;C750000_51
24;6;6;141;C006018;[A];140;C006017
25;6;6;162;C006028;[A];161;C006027
26;6;6;152;C006023;[A];151;C006022
27;6;6;172;C006033;[A];171;C006032
28;750;6;141;C006018;[B];122;C750000_02
29;750;6;152;C006023;[B];122;C750000_02
30;750;6;162;C006028;[B];122;C750000_02
31;750;6;172;C006033;[B];122;C750000_02
32;6;6;174;C006035;[A];173;C006034
33;6;6;174;C006035;[B];173;C006034
34;6;6;164;C006030;[A];163;C006029
35;6;6;164;C006030;[B];163;C006029
36;6;6;154;C006025;[A];153;C006024
37;6;6;154;C006025;[B];153;C006024
38;6;6;143;C006020;[A];142;C006019
39;6;6;143;C006020;[B];142;C006018
40;6;6;142;C006019;[A];141;C006018
41;6;6;153;C006024;[A];152;C006023
42;6;6;163;C006029;[A];162;C006028
43;6;6;173;C006034;[A];172;C006033
44;750;6;161;C006027;[A];4120;C750000_42
