idObjet;idCols;COLS_CODE;COLS_FILTRE_DOMAINE;DIM_CODE;DIM_VAL_CODE;FILTRE_TAB;FILTRE_CHA;FILTRE_VAL;FILTRE_SENS
750;4110;C750000_01;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_SOURCE;ETP_ANAPLAN;INCLURE
750;4110;C750000_01;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_INDC;ETP_METIER;INCLURE
750;4110;C750000_01;TEMPS;;;vw_CUBE_VBPCE_APC_FAITS;PERD_ARRT_INFO;[M12N1];INCLURE
750;122;C750000_02;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_SOURCE;ETP_ANAPLAN;INCLURE
750;122;C750000_02;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_INDC;ETP_METIER;INCLURE
750;122;C750000_02;TEMPS;;;vw_CUBE_VBPCE_APC_FAITS;PERD_ARRT_INFO;[M-00];INCLURE
750;123;C750000_03;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_SOURCE;ETP_ANAPLAN;INCLURE
750;123;C750000_03;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_INDC;ETP_METIER;INCLURE
750;123;C750000_03;TEMPS;;;vw_CUBE_VBPCE_APC_FAITS;PERD_ARRT_INFO;[M-01];INCLURE
750;125;C750000_04;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_SOURCE;ETP_ANAPLAN;INCLURE
750;125;C750000_04;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_INDC;ETP_METIER;INCLURE
750;125;C750000_04;TEMPS;;;vw_CUBE_VBPCE_APC_FAITS;PERD_ARRT_INFO;[M-12];INCLURE
750;119;C750000_10;TEMPS;;;vw_CUBE_VBPCE_APC_FAITS;PERD_ARRT_INFO;[M12N1];INCLURE
750;119;C750000_10;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_INDC;NBCLNTST;INCLURE
750;119;C750000_10;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;C_NIV_3;MA03BDD;INCLURE
750;119;C750000_10;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_SOURCE;ActivationV2;INCLURE
750;119;C750000_10;DIMENSION;;;vw_CUBE_VBPCE_APC_FAITS;CODE_PRDT_ICARE;ACTV2_BPE;INCLURE
750;120;C750000_11;TEMPS;;;vw_CUBE_VBPCE_APC_FAITS;PERD_ARRT_INFO;[M-00];INCLURE
