idRACible;idObjet;idRA;RA_CODE;idColsCib;idRowsCib;COLS_CODE;ROWS_CODE;LIEN_VALIDE
200;0;20;ra20;0;0;C000;R000;OUI
201;0;20;ra20;0;1;C000;R001;OUI
202;0;20;ra20;0;2;C000;R002;OUI
203;0;21;ra21;1;0;C001;R000;OUI
204;0;21;ra21;1;1;C001;R001;OUI
205;0;21;ra21;1;2;C001;R002;OUI
206;0;22;ra22;2;0;C002;R000;OUI
207;0;22;ra22;2;1;C002;R001;OUI
208;0;22;ra22;2;2;C002;R002;OUI
209;1;23;ra23;3;3;C000;R000;OUI
210;1;23;ra23;3;4;C000;R001;OUI
211;1;23;ra23;3;5;C000;R002;OUI
212;1;24;ra24;4;3;C001;R000;OUI
213;1;24;ra24;4;4;C001;R001;OUI
214;1;24;ra24;4;5;C001;R002;OUI
215;1;25;ra25;5;3;C002;R000;OUI
216;1;25;ra25;5;4;C002;R001;OUI
217;1;25;ra25;5;5;C002;R002;OUI
218;2;26;ra26;6;6;C000;R000;OUI
219;2;26;ra26;6;7;C000;R001;OUI
220;2;26;ra26;6;8;C000;R002;OUI
221;2;27;ra27;7;6;C001;R000;OUI
222;2;27;ra27;7;7;C001;R001;OUI
223;2;27;ra27;7;8;C001;R002;OUI
224;2;28;ra28;8;6;C002;R000;OUI
225;2;28;ra28;8;7;C002;R001;OUI
226;2;28;ra28;8;8;C002;R002;OUI
227;2;28;ra28;9;9;C003;R003;NON
