idObjet;idRows;ROWS_CODE;DIM_VAL_CODE;FILTRE_TAB;FILTRE_CHA;FILTRE_VAL;FILTRE_SENS
0;0;R000;;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_ORGN_FINN;11111;INCLURE
0;1;R001;;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_ORGN_FINN;22222;INCLURE
0;2;R002;;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_ORGN_FINN;33333;INCLURE
1;3;R003;;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_ORGN_FINN;11111;INCLURE
1;4;R004;;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_ORGN_FINN;22222;INCLURE
1;5;R005;;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_ORGN_FINN;33333;INCLURE
2;6;R006;;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_ORGN_FINN;11111;INCLURE
2;7;R007;;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_ORGN_FINN;22222;INCLURE
2;8;R008;;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_ORGN_FINN;33333;INCLURE
2;8;R008;;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_ORGN_FINN;11111;INCLURE
