id;PERD_ARRT_INFO;DATE_TRT;CODE_ORGN_FINN;CODE_INDIC_REQT;CODE_PRDT_ICARE;CODE_MARC_ICARE;CODE_PHAS_ICARE;LIBL_SOUR_ICARE;MT_VERST;MT_REMB;MT_ENCR_DEVS;MT_ENCR_MOYE;MT_ENGG;NB_OUVR;NB_FERM;NB_STCK_CONT;MT_EXCDT;MT_VENT_NET;MT_ENCR_MOYE_MARC;MT_COMM;MT_COMM_APPR;MT_COMM_RISQ;MT_SURC;MT_COMM_ENCR;MT_COMM_VERST;MT_FRS;TX_FRS;TX_COMM;MT_ENCR_MOYE_CUML;MT_EXCDT_MENS;NB_VENT_NET_MENS;MT_VART_STCK;MT_VART_STCK_CUML;MT_ENGG_MENS;MT_ENCR_MENS;MT_ENCR_VART;CODE_PRVN;LIBL_INDIC_REQT;FAMI_INDIC_REQT;LIBL_MARC_ICARE;C_NIV_1;L_NIV_1;C_NIV_2;L_NIV_2;C_NIV_3;L_NIV_3;C_NIV_4;L_NIV_4;C_NIV_41;L_NIV_41;CODE_NIV0_ICARE;LIBL_NIV0_ICARE;CODE_NIV1_ICARE;LIBL_NIV1_ICARE;CODE_NIV2_ICARE;LIBL_NIV2_ICARE;CODE_NIV3_ICARE;LIBL_NIV3_ICARE;CODE_NIV4_ICARE;LIBL_NIV4_ICARE
0;202312;;11111;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
1;202312;;11111;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
2;202312;;11111;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
3;202312;;11111;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
4;202312;;11111;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;202312;;22222;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
6;202312;;22222;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
7;202312;;22222;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
8;202312;;22222;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
9;202312;;22222;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;202312;;33333;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
11;202312;;33333;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
12;202312;;33333;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
13;202312;;33333;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
14;202312;;33333;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;202312;;11111;;;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
16;202312;;11111;;;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
17;202312;;11111;;;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
18;202312;;11111;;;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
19;202312;;11111;;;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;202312;;22222;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
21;202312;;22222;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
22;202312;;22222;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
23;202312;;22222;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
24;202312;;22222;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;202312;;33333;;;;;;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_SAL;;;
26;202312;;33333;;;;;;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EPAR_BIL;;;
27;202312;;33333;;;;;;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_EQUIP;;;
28;202312;;33333;;;;;;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_CONSO;;;
29;202312;;33333;;;;;;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3_ETU;;;
